title,artistName,yearAsString,genre,image,vector
Composition,Mattis-Teutsch Janos,1919,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1919-3.jpg!Large.jpg,"[19.393305439330543, 5.726638772663877, 32.63040446304045, 16.767085076708508, 7.306834030683403, 4.475592747559275, 13.700139470013948, 6, 52.290485957283884]"
Composition,Mattis-Teutsch Janos,1919,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1919-4.jpg!Large.jpg,"[14.090766823161188, 0.12989045383411582, 11.85133020344288, 5.604068857589985, 40.22848200312989, 16.201877934272304, 11.89358372456964, 6, 41.619092331768385]"
Composition,Mattis-Teutsch Janos,1919,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1919-5.jpg!Large.jpg,"[14.164444444444444, 4.475555555555555, 29.88740740740741, 13.49037037037037, 8.971851851851852, 6.848888888888889, 22.16148148148148, 6, 51.37999128540306]"
Composition,Mattis-Teutsch Janos,1920,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1920(2).jpg!Large.jpg,"[10.675925925925926, 1.8068783068783068, 39.92195767195767, 9.343915343915343, 10.062169312169313, 8.73941798941799, 19.44973544973545, 6, 53.869763460939936]"
Composition,Mattis-Teutsch Janos,1920,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1920(3).jpg!Large.jpg,"[17.07861635220126, 0.07547169811320754, 10.930817610062892, 40.60220125786164, 19.25314465408805, 0.15880503144654087, 11.900943396226415, 5, 40.13972129732396]"
Composition,Mattis-Teutsch Janos,1920,abstract,https://uploads4.wikiart.org/images/janos-mattis-teutsch/composition-1920-1(8).jpg!Large.jpg,"[20.574935400516793, 3.6395348837209305, 15.996124031007753, 1.6692506459948322, 27.518087855297157, 15.728682170542635, 14.873385012919895, 5, 42.87723058215534]"
Composition,Mattis-Teutsch Janos,1920,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1920-2.jpg!Large.jpg,"[59.21722846441948, 1.042446941323346, 8.857677902621724, 8.684144818976279, 0.08614232209737827, 12.704119850187265, 9.408239700374532, 5, 46.276600328021345]"
Composition,Mattis-Teutsch Janos,1920,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1920-3.jpg!Large.jpg,"[19.964689265536723, 2.885593220338983, 10.48870056497175, 8.153954802259888, 15.46045197740113, 31.278248587570623, 11.768361581920903, 6, 54.78526642295336]"
Composition,Mattis-Teutsch Janos,1920,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1920-4.jpg!Large.jpg,"[18.330555555555556, 3.125, 14.865277777777777, 20.629166666666666, 16.96111111111111, 9.87361111111111, 16.21527777777778, 6, 44.536078431372545]"
Composition,Mattis-Teutsch Janos,1920,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1920-5.jpg!Large.jpg,"[26.56265664160401, 10.923558897243108, 12.803258145363408, 5.926065162907268, 6.847117794486215, 27.572681704260653, 9.364661654135338, 7, 56.71186790505676]"
